"Topic_code","Topic_desc","DataSet_code","DataSet_desc","Reporter_code","Reporter_desc","Flow_code","Flow_desc","Indicator_code","Indicator_desc","Partner_code","Partner_desc","Unit_code","Unit_desc","Year","Value","Value_flag","Notes_Export"
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",2006,13472884124," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",2007,14480508022," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",2008,16018628000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",2009,15771241000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",2010,17730328000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",2011,21391422717," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",2012,21337912000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",2013,23758594000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",2014,25084855000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",2015,26205739000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",2016,28555468000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",1980,11318437598," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",1981,15855311346," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",1982,17221370721," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",1983,15508740551," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",1984,16133803238," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",1985,14138412691," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",1986,6326789759," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",1987,9731073798," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",1988,8003181691," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",1989,9332897563," ","Coverage: Includes processing zones" 
